From,To,Neuropil,Synapses,Neuro Transmitter
720575940629382150,720575940634612194,LOP_R,1737,GABA
720575940627190556,720575940632427603,LOP_R,1329,GABA
720575940632504874,720575940632427603,LOP_R,1213,GABA
720575940627190556,720575940634612194,UNASGD,2,GABA
720575940627190556,720575940634612194,LOP_R,1065,GABA
720575940632504874,720575940634612194,LOP_R,968,GABA
720575940634612194,720575940627190556,LOP_R,611,GABA
720575940634612194,720575940632504874,LOP_R,585,GABA
720575940632427603,720575940634612194,LOP_R,86,ACH
720575940634612194,720575940632427603,LOP_R,71,GABA
720575940634612194,720575940629382150,LOP_R,66,GABA
720575940629382150,720575940632427603,LOP_R,65,GABA
720575940627190556,720575940629382150,LOP_R,32,GABA
720575940629382150,720575940632504874,LOP_R,27,GABA
720575940632427603,720575940629382150,LOP_R,27,ACH
720575940632504874,720575940629382150,LOP_R,24,GABA
720575940627190556,720575940632504874,LO_R,1,GABA
720575940627190556,720575940632504874,UNASGD,4,GABA
720575940627190556,720575940632504874,LOP_R,15,GABA
720575940632427603,720575940627190556,LOP_R,14,ACH
720575940629382150,720575940627190556,LOP_R,14,GABA
720575940632427603,720575940632504874,LOP_R,14,ACH
720575940632504874,720575940627190556,LOP_R,9,GABA
